Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Beras Premium
01/05/2023,,"31,6","27,5",84,0,"6,1",3,320,0,C,13.580
02/05/2023,"24,2","33,6","27,1",85,0,"4,1",4,40,1,C,13.610
03/05/2023,"24,2","33,4","26,3",90,"11,6","7,5",5,30,1,C,13.600
04/05/2023,"24,2","32,5","26,8",88,"68,1","4,8",6,160,1,C,13.620
05/05/2023,"24,6","33,8","27,3",86,8888,"5,5",4,270,1,C,13.590
06/05/2023,"24,4","33,6","27,3",84,"0,2","7,2",4,190,1,C,13.610
07/05/2023,"23,6","32,8","26,5",90,,"4,4",3,120,1,C,13.600
08/05/2023,"23,8","31,7","26,3",90,"58,8","4,8",2,320,0,C,13.610
09/05/2023,"23,2","32,6","28,2",80,"26,9","3,3",2,80,0,C,13.590
10/05/2023,"23,1","33,6","28,3",80,0,"6,9",4,360,1,C,13.600
11/05/2023,"24,2","31,4","26,8",86,,"8,5",5,60,1,C,13.600
12/05/2023,"24,4","33,2","28,4",76,,"3,9",7,45,2,C,13.570
13/05/2023,24,"34,6","26,7",87,,"10,5",3,330,1,C,13.550
14/05/2023,"22,6","34,3","27,5",74,"12,8","7,9",2,50,1,C,13.580
15/05/2023,"22,4","32,6","26,9",79,0,7,3,50,1,C,13.550
16/05/2023,"22,8","33,4","27,2",74,,"8,7",3,300,1,C,13.590
17/05/2023,"22,7","33,4","26,8",78,0,"7,8",4,330,1,C,13.600
18/05/2023,"24,3","31,2","27,1",80,,"8,8",2,320,0,C,13.570
19/05/2023,,33,"26,8",84,,"1,8",7,40,1,C,13.590
20/05/2023,"24,4","32,4","27,6",82,"0,2","3,1",4,35,0,C,13.570
21/05/2023,"24,2","33,2","26,9",86,1,"3,6",3,200,0,C,13.550
22/05/2023,23,"33,3","26,4",83,3,0,4,310,1,C,13.600
23/05/2023,"23,9",33,"27,2",79,"1,3","8,9",4,20,1,C,13.590
24/05/2023,"23,6","32,8",27,82,0,"7,6",2,330,0,C,13.590
25/05/2023,"23,4",34,"25,9",84,0,"6,5",3,60,0,C,13.560
26/05/2023,23,"33,2","27,5",80,55,"7,8",3,350,0,C,13.580
27/05/2023,"23,4","31,3","26,6",87,"26,5","7,1",4,270,0,C,13.550
28/05/2023,24,"32,4","27,1",82,,"4,7",3,230,1,C,13.560
29/05/2023,"23,8","32,4","27,1",84,,"8,2",3,190,0,C,13.570
30/05/2023,"23,9","33,6","26,7",82,0,"5,4",3,40,1,C,13.580
31/05/2023,"22,1","33,8","27,4",76,"28,8",9,3,340,1,C,13.590
01/06/2023,"22,4","33,4","26,8",76,,"8,6",4,340,1,C,13.530
02/06/2023,"23,4","33,8","27,4",81,,"9,5",3,320,1,C,13.540
03/06/2023,"24,4",33,"27,7",83,8888,8,3,310,1,C,13.540
04/06/2023,"23,9","32,6","26,6",84,"59,3","5,7",4,350,1,C,13.560
05/06/2023,"23,8","33,8","26,1",86,"0,3","8,4",3,260,1,C,13.570
06/06/2023,"23,8","29,4","25,7",91,"34,2","7,4",4,230,1,C,13.550
07/06/2023,"22,4","32,2","26,7",83,"0,4","0,8",2,190,1,C,13.560
08/06/2023,"22,6","32,2","26,9",82,"3,5","8,7",4,40,1,C,13.580
09/06/2023,"22,4","32,8","26,5",81,0,"7,2",6,150,1,C,13.560
10/06/2023,"22,4","32,4","26,1",86,"13,3","9,4",3,40,0,C,13.560
11/06/2023,"22,4","33,3","26,8",78,,"8,3",3,360,0,C,13.550
12/06/2023,"22,6","32,6","27,5",79,,"9,6",4,40,1,C,13.560
13/06/2023,"23,5","33,4","26,9",84,,"8,6",5,300,1,C,13.570
14/06/2023,"23,8","31,4","25,4",89,"15,7","5,6",3,340,0,C,13.560
15/06/2023,"22,1","32,2","27,2",81,"16,5","3,9",5,50,1,C,13.560
16/06/2023,"24,4",29,"24,5",95,"2,6","6,1",2,160,0,C,13.520
17/06/2023,"22,4",30,"25,9",86,"10,1",0,4,80,0,C,13.550
18/06/2023,"23,3","32,4","26,3",86,,"0,4",4,320,1,C,13.500
19/06/2023,23,33,"25,7",91,"73,7","9,4",2,190,0,C,13.560
20/06/2023,"22,2","33,4","26,9",80,"15,1","5,7",3,30,0,C,13.530
21/06/2023,"23,6",33,"26,8",84,,"9,6",4,210,1,C,13.560
22/06/2023,24,33,"27,7",80,"3,6","7,2",3,180,1,C,13.590
23/06/2023,24,33,"27,2",83,"14,3","7,7",2,310,1,C,13.540
24/06/2023,"23,3","32,8","26,7",87,"0,4","7,7",3,200,1,C,13.540
25/06/2023,23,"32,9","25,7",86,7,"8,9",4,100,1,C,13.550
26/06/2023,"21,8","32,4","25,9",,1,"6,5",2,360,0,C,13.540
27/06/2023,"22,4",33,"25,9",84,,8,4,180,1,C,13.530
28/06/2023,"22,5","33,4","26,8",78,,9,3,70,1,C,13.580
29/06/2023,23,"32,6","26,5",85,"23,5","9,2",4,360,0,C,13.520
30/06/2023,23,33,"27,1",82,"16,2","8,9",3,330,0,C,13.560
01/07/2023,"25,2","33,6","29,3",73,,"8,3",7,130,3,SE,13.600
02/07/2023,"25,4",34,"29,1",72,0,"8,2",6,140,3,SE,13.580
03/07/2023,"25,4","33,8","28,8",72,0,"8,4",5,70,2,NW,13.580
04/07/2023,"25,6","33,5",29,71,0,5,6,190,3,E,13.620
05/07/2023,"25,2","33,6","28,7",75,"12,5","6,3",6,150,3,SE,13.550
06/07/2023,"25,5","34,6","29,3",71,0,"8,5",6,150,3,SE,13.580
07/07/2023,26,"32,4","27,7",80,,"8,3",5,100,3,W,13.580
08/07/2023,"25,2","29,8","27,3",85,"34,5",1,5,140,2,SE,13.540
09/07/2023,"24,8","32,6","28,5",78,"3,8","0,6",8,160,4,SE,13.530
10/07/2023,"25,8","32,8","28,9",77,0,"8,7",7,120,3,SE,13.580
11/07/2023,25,"33,4","28,3",71,0,"8,8",5,120,2,SE,13.560
12/07/2023,"24,2","32,8","27,7",69,0,"4,8",3,330,2,E,13.590
13/07/2023,25,"33,8","28,8",72,0,"8,7",6,140,2,SE,13.580
14/07/2023,"25,6","33,4","28,8",75,0,"4,3",7,130,3,C,13.580
15/07/2023,"24,6","33,2","28,5",72,0,"8,5",6,120,2,C,13.550
